bottle,dilution_factor,filtration,flowcell,instrument
b_01,1,200,yellow,1
b_02,1,200,yellow,1
b_03,1,200,yellow,1
b_04,1,200,yellow,1
b_05,1,200,yellow,1
b_06,1,200,yellow,1
b_07,1,200,yellow,1
b_08,1,200,yellow,1
b_09,1,200,yellow,1
b_10,1,200,yellow,1
b_11,1,200,yellow,1
b_12,1,200,yellow,1
b_13,1,200,yellow,1
b_14,1,200,yellow,1
b_15,1,200,yellow,1
b_16,1,200,yellow,1
b_17,1,200,yellow,1
b_18,1,200,yellow,1
b_19,1,200,yellow,1
b_20,1,200,yellow,1
b_21,1,200,yellow,1
b_22,1,200,yellow,1
b_23,1,200,yellow,1
b_24,1,200,yellow,1
b_25,1,200,yellow,1
b_26,1,200,yellow,1
b_27,1,200,yellow,1
b_28,1,200,yellow,1
b_29,1,200,yellow,1
b_30,1,200,yellow,1
b_31,1,200,yellow,1
b_32,1,200,yellow,1
