bottles,incubator,temperature,resources,salinity,replicate
b_01,A,increasing,constant,constant,1
b_02,A,increasing,increasing,increasing,1
b_03,A,increasing,increasing,constant,1
b_04,A,increasing,constant,increasing,1
b_05,B,constant,constant,increasing,1
b_06,B,constant,constant,constant,1
b_07,B,constant,increasing,increasing,1
b_08,B,constant,increasing,constant,1
b_09,C,constant,constant,increasing,2
b_10,C,constant,increasing,constant,2
b_11,C,constant,constant,constant,2
b_12,C,constant,increasing,increasing,2
b_13,D,increasing,constant,constant,2
b_14,D,increasing,increasing,constant,2
b_15,D,increasing,increasing,increasing,2
b_16,D,increasing,constant,increasing,2
b_17,E,increasing,constant,increasing,3
b_18,E,increasing,increasing,constant,3
b_19,E,increasing,constant,constant,3
b_20,E,increasing,increasing,increasing,3
b_21,F,constant,constant,increasing,3
b_22,F,constant,increasing,increasing,3
b_23,F,constant,increasing,constant,3
b_24,F,constant,constant,constant,3
b_25,G,constant,constant,constant,4
b_26,G,constant,constant,increasing,4
b_27,G,constant,increasing,constant,4
b_28,G,constant,increasing,increasing,4
b_29,H,increasing,constant,constant,4
b_30,H,increasing,constant,increasing,4
b_31,H,increasing,increasing,increasing,4
b_32,H,increasing,increasing,constant,4
